Material,Cost Per,Amount Needed,Self-provided?,HC Funding,Link
PLA,$13.99,1,Yes,N/A,https://us.elegoo.com/collections/pla-filament/products/pla-filament-1-75mm-colored-1kg
Ardino Nano,$9.99,1,Yes,N/A,https://www.amazon.com/DWEII-Presoldered-ATmega328P-Microcontroller-Compatible/dp/B0FR1K3PXC/ref=sr_1_9_sspa?crid=3CNZMY5C2BUO4&dib=eyJ2IjoiMSJ9.KnW4qA_nYCmhNNFB9Jor2u14H9oUbj6wWD7htRag2QQ2oYfm0TIJ6thVfDkgWpLCWBZdaGAE4Ox3beS28J7rBUjBGr4lrgTRvkhQykGf_GjEOS7Fwsce_51cf4HazE8AdMYksHPMS_F8JjqMoeZJbmWisiYzMRfym2FfD1zV4_md-Ahf8nSWj7yw_C8grVAYa7jYp5jFOax9B5iU_vigbRgG_yqi8afGOVpABlKtNFawYLIYaxKcRkJ7nCJAL00_l7TTtK0DTbubTD_sD21yBBdtSQD6nGGxlFgfKOoo3AU.nJVHXmgLV6X1BYqgksfu6VHrXQrdE9pUsJj__qlNAXk&dib_tag=se&keywords=arduino+nano&qid=1782546846&s=electronics&sprefix=arduino+nano%2Celectronics%2C195&sr=1-9-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1
2 Cell LiPo battery,$12.53,1,No,$12.53,https://www.amazon.com/gp/product/B0F7XSJG6N/ref=ewc_pr_img_2?smid=A2G04EDW0TSC6Z&psc=1
3pc Mini Servos,$5.99,1,No,$5.99,https://www.amazon.com/gp/product/B0BKPL2Y21/ref=ewc_pr_img_3?smid=A1YZW40LYQY3L1&th=1
Transmitter & Reciever,$49.99,1,No,$49.99,https://www.amazon.com/gp/product/B07CWBQ2HM/ref=ewc_pr_img_4?smid=A27Y3358ST3KOY&th=1
15 A ESC,$15.19,1,No,$15.19,https://www.amazon.com/gp/product/B0G63GMMJQ/ref=ewc_pr_img_5?smid=A2N8PHTOJI3K3Q&psc=1
Accelerometer,$6.99,1,No,$6.99,https://www.amazon.com/gp/product/B01DK83ZYQ/ref=ewc_pr_img_6?smid=A30QSGOJR8LMXA&th=1
10pc Propellers,$8.89,1,No,$8.89,https://www.amazon.com/gp/product/B0CXY23GYW/ref=ewc_pr_img_8?smid=A3DAOP6SR09DV8&psc=1
CW Motor,$13.88,1,No,$13.88,https://www.amazon.com/gp/product/B07QSQ19VQ/ref=ewc_pr_img_7?smid=A2LNZEPI7X9Y44&th=1
